issue_id,ml_label,device_type,condition_signature,issue_title,problem_summary,cause_analysis,risk_impact,severity,recommended_action,reassurance,user_message
11,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Rising temperature",Device is drawing more current than expected; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Rising temperature

Why this happened:
• Device is drawing more current than expected; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
12,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Overheating",Device is drawing more current than expected; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Overheating

Why this happened:
• Device is drawing more current than expected; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
13,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability",Device is drawing more current than expected; Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Intermittent electrical instability

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
14,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Rising temperature",Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Intermittent electrical instability, Rising temperature

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
15,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Overheating",Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Intermittent electrical instability, Overheating

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
16,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes",Device is drawing more current than expected; Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Severe electrical spikes

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
17,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Rising temperature",Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Severe electrical spikes, Rising temperature

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
18,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Overheating",Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Severe electrical spikes, Overheating

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
19,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Excessive current draw,Current is flowing far above the normal baseline,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw

Why this happened:
• Current is flowing far above the normal baseline

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
20,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,"Excessive current draw, Rising temperature",Current is flowing far above the normal baseline; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
21,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,"Excessive current draw, Overheating",Current is flowing far above the normal baseline; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
22,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability",Current is flowing far above the normal baseline; Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Intermittent electrical instability

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
23,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability, Rising temperature",Current is flowing far above the normal baseline; Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Intermittent electrical instability, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
24,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability, Overheating",Current is flowing far above the normal baseline; Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Intermittent electrical instability, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
25,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,"Excessive current draw, Severe electrical spikes",Current is flowing far above the normal baseline; Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Severe electrical spikes

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
26,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Excessive current draw, Severe electrical spikes, Rising temperature",Current is flowing far above the normal baseline; Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Severe electrical spikes, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
27,Warning,Fan,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Excessive current draw, Severe electrical spikes, Overheating",Current is flowing far above the normal baseline; Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Severe electrical spikes, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
28,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Minor electrical anomaly,Slight deviation from normal behavior,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Minor electrical anomaly

Why this happened:
• Slight deviation from normal behavior

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
29,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,Rising temperature,Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Rising temperature

Why this happened:
• Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
30,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,Overheating,Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Overheating

Why this happened:
• Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
31,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,Intermittent electrical instability,Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Intermittent electrical instability

Why this happened:
• Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
32,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Intermittent electrical instability, Rising temperature",Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Intermittent electrical instability, Rising temperature

Why this happened:
• Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
33,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Intermittent electrical instability, Overheating",Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Intermittent electrical instability, Overheating

Why this happened:
• Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
34,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,Severe electrical spikes,Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Severe electrical spikes

Why this happened:
• Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
35,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Severe electrical spikes, Rising temperature",Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Severe electrical spikes, Rising temperature

Why this happened:
• Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
36,Warning,LED Light,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Severe electrical spikes, Overheating",Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Severe electrical spikes, Overheating

Why this happened:
• Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
37,Warning,LED Light,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Electrical overload,Device is drawing more current than expected,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload

Why this happened:
• Device is drawing more current than expected

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
38,Warning,LED Light,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Rising temperature",Device is drawing more current than expected; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Rising temperature

Why this happened:
• Device is drawing more current than expected; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
39,Warning,LED Light,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Overheating",Device is drawing more current than expected; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Overheating

Why this happened:
• Device is drawing more current than expected; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
40,Warning,LED Light,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability",Device is drawing more current than expected; Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Intermittent electrical instability

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
